rpc,type,bitcoin,zcash,pirate,zero
z_sendmany,wallet,n,y,y,y
z_setmigration,wallet,n,y,y,y
z_getmigrationstatus,wallet,n,y,y,y
z_shieldcoinbase,wallet,n,y,y,y
z_getoperationstatus,wallet,n,y,y,y
z_getoperationresult,wallet,n,y,y,y
z_listoperationids,wallet,n,y,y,y
z_getnewaddress,wallet,n,y,y,y
z_listaddresses,wallet,n,y,y,y
z_exportkey,wallet,n,y,y,y
z_importkey,wallet,n,y,y,y
z_exportviewingkey,wallet,n,y,y,y
z_importviewingkey,wallet,n,y,y,y
z_exportwallet,wallet,n,y,y,y
z_importwallet,wallet,n,y,y,y
z_viewtransaction,wallet,n,y,y,y
z_getpaymentdisclosure,disclosure,n,y,y,y
z_validatepaymentdisclosure,disclosure,n,y,y,y
z_getnewaccount,wallet,n,y,n,n
z_getaddressforaccount,wallet,n,y,n,n
z_listaccounts,wallet,n,y,n,n
z_listunifiedreceivers,wallet,n,y,n,n
z_getbalanceforviewingkey,wallet,n,y,n,n
z_getbalanceforaccount,wallet,n,y,n,n
z_getnotescount,wallet,n,y,n,n
z_getnewaddresskey,wallet,n,n,y,n
z_setprimaryspendingkey,wallet,n,n,y,n
z_exportseedphrase,wallet,n,n,y,n
z_sendmany_prepare_offline,wallet,n,n,y,n
z_sign_offline,wallet,n,n,y,n
walletconfirmbackup,wallet,n,y,n,n
convertpassphrase,wallet,n,n,y,n
rescan,wallet,n,n,y,n
consolidationstatus,wallet,n,n,y,n
createwallet,wallet,y,n,n,n
restorewallet,wallet,y,n,n,n
loadwallet,wallet,y,n,n,n
unloadwallet,wallet,y,n,n,n
bumpfee,wallet,y,n,n,n
psbtbumpfee,wallet,y,n,n,n
send,wallet,y,n,n,n
sendall,wallet,y,n,n,n
zs_listtransactions,zero_exclusive,n,n,n,y
zs_gettransaction,zero_exclusive,n,n,n,y
zs_listspentbyaddress,zero_exclusive,n,n,n,y
zs_listreceivedbyaddress,zero_exclusive,n,n,n,y
zs_listsentbyaddress,zero_exclusive,n,n,n,y
getalldata,zero_exclusive,n,n,n,y
getsupply,zero_exclusive,n,n,n,y
getsaplingwitness,zero_experimental,n,n,n,y
getsaplingwitnessatheight,zero_experimental,n,n,n,y
getsaplingblocks,zero_experimental,n,n,n,y
getiguanajson,control,n,n,y,n
getnotarysendmany,control,n,n,y,n
geterablockheights,control,n,n,y,n
MoMoMdata,crosschain,n,n,y,n
calc_MoM,crosschain,n,n,y,n
height_MoM,crosschain,n,n,y,n
assetchainproof,crosschain,n,n,y,n
crosschainproof,crosschain,n,n,y,n
logging,control,y,n,n,n
