rpc,type,bitcoin,zcash,pirate,zero,zero_missing_sources
walletlock,wallet,y,y,y,y,
walletpassphrasechange,wallet,y,y,y,y,
walletpassphrase,wallet,y,y,y,y,
resendwallettransactions,hidden,y,y,y,y,
zcbenchmark,wallet,n,y,y,y,
zcrawjoinsplit,wallet,n,y,y,y,
zcrawreceive,wallet,n,n,n,y,
zcsamplejoinsplit,wallet,n,y,y,y,
z_converttex,wallet,n,y,n,n,Z
z_listreceivedbyaddress,wallet,n,y,y,y,
z_listunspent,wallet,n,y,y,y,
z_getbalance,wallet,n,y,y,y,
z_gettotalbalance,wallet,n,y,y,y,
z_mergetoaddress,wallet,n,y,y,y,
z_sendmany,wallet,n,y,y,y,
z_setmigration,wallet,n,y,y,y,
z_getmigrationstatus,wallet,n,y,y,y,
z_shieldcoinbase,wallet,n,y,y,y,
z_getoperationstatus,wallet,n,y,y,y,
z_getoperationresult,wallet,n,y,y,y,
z_listoperationids,wallet,n,y,y,y,
z_getnewaddress,wallet,n,y,y,y,
z_listaddresses,wallet,n,y,y,y,
z_exportkey,wallet,n,y,y,y,
z_importkey,wallet,n,y,y,y,
z_exportviewingkey,wallet,n,y,y,y,
z_importviewingkey,wallet,n,y,y,y,
z_exportwallet,wallet,n,y,y,y,
z_importwallet,wallet,n,y,y,y,
z_viewtransaction,wallet,n,y,y,y,
z_getpaymentdisclosure,disclosure,n,y,y,y,
z_validatepaymentdisclosure,disclosure,n,y,y,y,
z_getnewaccount,wallet,n,y,n,n,Z
z_getaddressforaccount,wallet,n,y,n,n,Z
z_listaccounts,wallet,n,y,n,n,Z
z_listunifiedreceivers,wallet,n,y,n,n,Z
z_getbalanceforviewingkey,wallet,n,y,n,n,Z
z_getbalanceforaccount,wallet,n,y,n,n,Z
z_getnotescount,wallet,n,y,n,n,Z
z_getnewaddresskey,wallet,n,n,y,n,P
z_setprimaryspendingkey,wallet,n,n,y,n,P
z_exportseedphrase,wallet,n,n,y,n,P
z_sendmany_prepare_offline,wallet,n,n,y,n,P
z_sign_offline,wallet,n,n,y,n,P
walletconfirmbackup,wallet,n,y,n,n,Z
convertpassphrase,wallet,n,n,y,n,P
rescan,wallet,n,n,y,n,P
consolidationstatus,wallet,n,n,y,n,P
createwallet,wallet,y,n,n,n,B
restorewallet,wallet,y,n,n,n,B
loadwallet,wallet,y,n,n,n,B
unloadwallet,wallet,y,n,n,n,B
bumpfee,wallet,y,n,n,n,B
psbtbumpfee,wallet,y,n,n,n,B
send,wallet,y,n,n,n,B
sendall,wallet,y,n,n,n,B
zs_listtransactions,zero_exclusive,n,n,n,y,
zs_gettransaction,zero_exclusive,n,n,n,y,
zs_listspentbyaddress,zero_exclusive,n,n,n,y,
zs_listreceivedbyaddress,zero_exclusive,n,n,n,y,
zs_listsentbyaddress,zero_exclusive,n,n,n,y,
getalldata,zero_exclusive,n,n,n,y,
getsupply,zero_exclusive,n,n,n,y,
getsaplingwitness,zero_experimental,n,n,n,y,
getsaplingwitnessatheight,zero_experimental,n,n,n,y,
getsaplingblocks,zero_experimental,n,n,n,y,
getiguanajson,control,n,n,y,n,P
getnotarysendmany,control,n,n,y,n,P
geterablockheights,control,n,n,y,n,P
MoMoMdata,crosschain,n,n,y,n,P
calc_MoM,crosschain,n,n,y,n,P
height_MoM,crosschain,n,n,y,n,P
assetchainproof,crosschain,n,n,y,n,P
crosschainproof,crosschain,n,n,y,n,P
logging,control,y,n,n,n,B
